,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ushuaia,20,AR,1577993539,71,-54.81,-68.31,53.6,25.28
1,Katsuura,75,JP,1577993539,75,33.93,134.5,48.0,4.7
2,Verkhnyaya Inta,60,RU,1577993539,89,65.99,60.32,2.43,6.82
3,Vaini,0,IN,1577993539,92,15.34,74.49,63.45,1.28
4,Jamestown,49,AU,1577993539,16,-33.21,138.6,75.13,15.99
5,Mataura,64,NZ,1577993539,83,-46.19,168.86,48.99,17.0
6,Kavieng,35,PG,1577993539,74,-2.57,150.8,82.98,3.98
7,Sumenep,100,ID,1577993539,81,-7.02,113.87,79.65,11.12
8,Byron Bay,75,AU,1577993371,93,-28.65,153.62,71.01,2.64
9,Saint George,20,GR,1577993539,59,39.45,22.34,42.01,6.93
10,Roald,75,NO,1577993539,81,62.58,6.12,46.0,24.16
11,Kavaratti,62,IN,1577993539,81,10.57,72.64,81.46,13.96
12,Forestville,40,CA,1577993539,68,48.74,-69.09,30.2,12.75
13,Carnarvon,0,ZA,1577993539,67,-30.97,22.13,66.9,20.94
14,East London,75,ZA,1577993539,88,-33.02,27.91,71.6,10.29
15,Codrington,68,AU,1577993539,93,-28.95,153.24,68.0,0.51
16,Makungu,100,TZ,1577993539,94,-8.74,35.29,60.94,2.28
17,Hithadhoo,0,MV,1577993439,78,-0.6,73.08,82.69,13.13
18,Wloclawek,0,PL,1577993540,77,52.65,19.07,33.01,3.0
19,Saskylakh,11,RU,1577993540,91,71.97,114.09,-17.03,8.08
20,Leningradskiy,0,RU,1577993540,82,69.38,178.42,-11.16,13.96
21,Caravelas,100,BR,1577993540,81,-17.73,-39.27,78.8,14.38
22,Kapaa,40,US,1577993540,78,22.08,-159.32,75.2,5.82
23,Pochutla,20,MX,1577993540,58,15.74,-96.47,89.01,17.22
24,Margate,75,AU,1577993540,72,-43.03,147.26,60.8,3.36
25,Kruisfontein,85,ZA,1577993496,85,-34.0,24.73,67.21,8.41
26,Yellowknife,90,CA,1577993416,84,62.45,-114.38,8.6,8.05
27,Bredasdorp,0,ZA,1577993540,72,-34.53,20.04,68.0,3.36
28,Nanortalik,100,GL,1577993540,35,60.14,-45.24,29.64,5.66
29,Bathsheba,40,BB,1577993540,58,13.22,-59.52,84.2,17.22
30,Tiksi,0,RU,1577993540,61,71.64,128.87,-19.61,3.69
31,San Policarpo,100,PH,1577993540,84,12.18,125.51,79.18,18.63
32,Sao Joao da Barra,40,BR,1577993540,58,-21.64,-41.05,86.0,23.04
33,Sitka,100,US,1577993540,50,37.17,-99.65,50.0,17.0
34,Alofi,0,NU,1577993541,69,-19.06,-169.92,76.87,10.07
35,Hasaki,20,JP,1577993541,80,35.73,140.83,35.6,3.36
36,Pathein,0,MM,1577993541,80,16.78,94.73,73.83,6.15
37,Tezu,100,IN,1577993541,93,27.93,96.16,55.99,1.54
38,Syracuse,1,US,1577993541,45,43.05,-76.15,51.8,11.41
39,Chokurdakh,0,RU,1577993541,94,70.62,147.9,-24.57,3.04
40,Rikitea,100,PF,1577993541,75,-23.12,-134.97,79.07,6.73
41,Esperance,75,AU,1577993541,82,-33.86,121.89,60.8,12.75
42,Kidal,0,ML,1577993541,23,18.44,1.41,53.13,13.94
43,Torbay,90,CA,1577993541,83,47.66,-52.73,34.0,17.22
44,Beira,40,ES,1577993541,81,43.2,-8.36,53.01,9.17
45,Souillac,100,FR,1577993541,93,45.6,-0.6,46.0,8.05
46,Punta Arenas,0,CL,1577993541,44,-53.16,-70.91,60.8,17.22
47,Resplendor,100,BR,1577993541,93,-19.33,-41.26,74.28,1.57
48,Bemmel,75,NL,1577993541,93,51.89,5.9,45.0,8.05
49,Tura,95,RU,1577993541,93,64.27,100.22,-3.17,5.1
50,New Norfolk,75,AU,1577993541,72,-42.78,147.06,60.8,3.36
51,Arman,100,RU,1577993541,72,59.7,150.17,24.03,41.36
52,Butaritari,100,KI,1577993541,74,3.07,172.79,82.44,0.94
53,Saint-Augustin,75,CA,1577993541,94,45.63,-73.98,39.0,2.24
54,Ponta do Sol,100,BR,1577993542,82,-20.63,-46.0,74.89,2.91
55,Ilulissat,75,GL,1577993542,78,69.22,-51.1,8.6,20.8
56,Cabo San Lucas,0,MX,1577993508,47,22.89,-109.91,73.0,8.99
57,Fort Myers Beach,1,US,1577993386,48,26.45,-81.95,86.0,9.17
58,Barrow,16,AR,1577993284,32,-38.31,-60.23,83.77,10.63
59,Albany,20,US,1577993542,52,42.65,-73.75,45.0,6.93
60,Ubauro,100,PK,1577993542,32,28.16,69.73,54.75,7.7
61,Tiarei,75,PF,1577993542,66,-17.53,-149.33,86.0,13.87
62,Altay,0,CN,1577993542,66,47.83,88.13,15.67,6.11
63,Buala,0,SB,1577993542,77,-8.15,159.59,81.09,4.83
64,Sao Filipe,100,CV,1577993542,71,14.9,-24.5,71.02,15.68
65,Hermanus,0,ZA,1577993542,77,-34.42,19.24,66.99,10.0
66,Shieli,99,KZ,1577993542,85,44.18,66.74,31.68,3.02
67,Narsaq,75,GL,1577993542,56,60.91,-46.05,15.8,2.24
68,Akdepe,90,TM,1577993542,68,42.05,59.39,41.0,4.7
69,Arlit,1,NE,1577993542,27,18.74,7.39,52.3,11.23
70,Pisco,20,PE,1577993542,30,-13.71,-76.2,75.0,11.41
71,Samaipata,71,BO,1577993542,58,-18.18,-63.88,76.06,3.51
72,Karratha,100,AU,1577993542,72,-20.74,116.85,83.55,9.44
73,Botngard,75,NO,1577993542,87,63.77,9.81,48.2,13.87
74,Bom Jardim,40,BR,1577993543,48,-7.8,-35.59,87.8,12.75
75,Avarua,83,CK,1577993543,73,-21.21,-159.78,77.0,2.24
76,Nikolskoye,90,RU,1577993543,80,59.7,30.79,41.0,15.66
77,Atuona,0,PF,1577993543,78,-9.8,-139.03,80.65,13.53
78,Coquimbo,20,CL,1577993543,63,-29.95,-71.34,66.2,13.87
79,Port Hardy,90,CA,1577993543,93,50.7,-127.42,37.4,14.99
80,Chuy,52,UY,1577993543,73,-33.69,-53.46,71.82,11.9
81,San Juan de los Morros,2,VE,1577993543,51,9.91,-67.35,79.68,4.12
82,Nelson Bay,90,AU,1577993543,94,-32.72,152.14,71.01,5.82
83,Labuhan,67,ID,1577993543,95,-2.54,115.51,72.88,1.25
84,Upernavik,100,GL,1577993543,59,72.79,-56.15,-1.01,16.42
85,Puerto Ayora,75,EC,1577993543,65,-0.74,-90.35,82.4,11.41
86,Petropavlovsk-Kamchatskiy,75,RU,1577993445,72,53.05,158.65,10.4,6.71
87,Artyom,0,RU,1577993543,76,43.36,132.19,-5.8,2.24
88,Talnakh,100,RU,1577993543,77,69.49,88.39,-2.2,17.9
89,Pinega,100,RU,1577993543,92,64.7,43.39,33.69,12.97
90,Daru,96,PG,1577993543,82,-9.07,143.21,75.58,1.41
91,Henties Bay,63,NA,1577993543,89,-22.12,14.28,63.0,3.0
92,Atambua,95,ID,1577993543,89,-9.11,124.89,74.86,2.21
93,Smithers,40,CA,1577993543,85,54.78,-127.17,19.4,2.24
94,Aden,0,YE,1577993393,75,12.79,45.03,77.85,11.54
95,Hat Yai,20,TH,1577993544,88,7.0,100.46,78.8,4.7
96,Nha Trang,40,VN,1577993544,88,12.24,109.19,77.0,14.99
97,Geraldton,90,CA,1577993544,92,49.72,-86.95,30.2,6.46
98,Riyadh,0,SA,1577993544,45,24.63,46.72,66.2,5.82
99,Iskateley,100,RU,1577993544,94,67.68,53.15,10.06,18.86
100,Deputatskiy,63,RU,1577993544,77,69.3,139.9,-25.28,2.33
101,Lavrentiya,0,RU,1577993544,88,65.58,-170.99,-13.54,13.49
102,Kodiak,1,US,1577993544,57,39.95,-94.76,52.0,3.36
103,Kaitangata,82,NZ,1577993544,61,-46.28,169.85,54.0,15.01
104,Saint-Georges,100,CA,1577993544,82,46.12,-70.67,30.99,1.99
105,Hrebinka,100,UA,1577993544,90,50.12,32.43,32.02,6.31
106,Hilo,1,US,1577993544,44,19.71,-155.08,80.6,4.7
107,Hobart,75,AU,1577993458,72,-42.88,147.33,60.8,3.36
108,Mar del Plata,0,AR,1577993544,18,-46.43,-67.52,90.54,25.1
109,Kavos,20,GR,1577993544,74,38.83,22.83,41.0,8.05
110,Kenai,20,US,1577993544,76,60.55,-151.26,9.0,3.36
111,Saldanha,100,PT,1577993544,81,41.42,-6.55,39.42,2.84
112,Deder,3,ET,1577993545,71,9.31,41.44,64.17,0.27
113,Brae,100,GB,1577993545,93,60.4,-1.35,42.8,20.8
114,Luderitz,0,NA,1577993545,68,-26.65,15.16,69.8,28.86
115,Fairbanks,1,US,1577993545,83,64.84,-147.72,-5.8,3.24
116,Camacha,20,PT,1577993545,68,33.08,-16.33,66.2,11.41
117,Balabac,88,PH,1577993545,72,7.99,117.06,81.46,18.57
118,Dikson,100,RU,1577993545,91,73.51,80.55,-2.51,23.44
119,Port Alfred,99,ZA,1577993545,91,-33.59,26.89,68.0,14.99
120,Araouane,0,ML,1577993545,19,18.9,-3.53,57.78,10.2
121,Barda,14,RU,1577993545,97,56.93,55.59,-0.6,5.66
122,Virginia Beach,40,US,1577993543,41,36.85,-75.98,60.01,13.87
123,Los Llanos de Aridane,100,ES,1577993545,55,28.66,-17.92,64.4,9.17
124,Namwala,100,ZM,1577993545,91,-15.75,26.45,68.34,2.68
125,Tainan,20,TW,1577993399,87,22.99,120.21,70.0,3.36
126,Matara,100,BI,1577993545,90,-3.48,29.48,59.76,3.56
127,Terrace,90,CA,1577993545,92,54.52,-128.61,30.0,1.23
128,Kulhudhuffushi,0,MV,1577993545,75,6.62,73.07,82.24,11.9
129,Carlsbad,40,CZ,1577993545,92,50.23,12.87,32.0,6.93
130,Redlands,75,US,1577993545,100,34.06,-117.19,71.6,2.77
131,Gravdal,75,NO,1577993546,87,59.79,5.78,46.4,20.8
132,Mahebourg,75,MU,1577993546,88,-20.41,57.7,78.8,3.36
133,Biak,100,ID,1577993546,71,-0.91,122.88,82.09,5.59
134,Bandarbeyla,33,SO,1577993546,78,9.49,50.81,78.12,16.62
135,Qadirpur Ran,40,PK,1577993546,81,30.29,71.67,48.2,7.63
136,Bluff,20,AU,1577993546,78,-23.58,149.07,75.74,13.06
137,Tornio,75,FI,1577993546,93,61.12,27.27,37.99,14.99
138,Mierlo,75,NL,1577993546,93,51.44,5.62,43.0,8.05
139,Vieux-Habitants,40,GP,1577993546,58,16.06,-61.77,86.0,9.17
140,Longyearbyen,0,NO,1577993546,54,78.22,15.63,5.0,13.87
141,Khatanga,100,RU,1577993392,97,71.98,102.47,-7.19,3.98
142,Haveli,100,PK,1577993546,70,33.47,72.12,46.4,6.93
143,Naze,0,NG,1577993546,50,5.43,7.07,77.0,7.0
144,Cape Town,20,ZA,1577993546,82,-33.93,18.42,68.0,20.8
145,Poum,20,MK,1577993546,50,41.28,20.71,32.0,4.7
146,Faanui,100,PF,1577993546,77,-16.48,-151.75,81.54,10.31
147,Borger,90,NL,1577993546,93,52.92,6.79,39.99,14.99
148,Tuktoyaktuk,75,CA,1577993546,75,69.44,-133.03,-13.0,14.99
149,Provideniya,0,RU,1577993546,79,64.42,-173.23,-12.64,8.88
150,Marienburg,90,DE,1577993546,80,52.12,9.98,37.0,4.7
151,Perth,20,AU,1577993512,82,-31.95,115.86,59.0,10.29
152,Carutapera,100,BR,1577993547,81,-1.2,-46.02,81.19,14.76
153,Waingapu,100,ID,1577993547,71,-9.65,120.26,83.55,7.54
154,Sobolevo,100,RU,1577993547,96,54.43,31.9,33.66,7.2
155,Vila Velha,75,BR,1577993275,78,-3.71,-38.6,86.0,9.17
156,Nador,75,MA,1577993547,82,35.17,-2.93,55.4,3.36
157,Busselton,0,AU,1577993547,55,-33.64,115.35,50.0,15.21
158,Batticaloa,0,LK,1577993547,94,7.71,81.69,73.87,1.79
159,Meulaboh,98,ID,1577993547,78,4.14,96.13,80.49,6.91
160,Tromso,75,NO,1577993547,95,69.65,18.96,42.8,20.8
161,Pocoes,100,BR,1577993547,94,-14.53,-40.37,70.65,2.66
162,Rassvet,96,RU,1577993547,65,49.11,45.47,29.17,9.75
163,Berlevag,75,NO,1577993547,86,70.86,29.09,28.4,17.22
164,Luanda,75,AO,1577993441,74,-8.83,13.24,82.4,10.29
165,Arraial do Cabo,75,BR,1577993547,74,-22.97,-42.02,86.0,6.93
166,Airai,100,TL,1577993547,96,-8.93,125.41,67.78,1.77
167,Georgetown,20,GY,1577993544,65,6.8,-58.16,86.0,9.17
168,Jalna,20,IN,1577993547,77,19.84,75.88,68.0,7.87
169,Fortuna,90,US,1577993547,100,40.6,-124.16,52.0,3.83
170,Srednekolymsk,18,RU,1577993548,79,67.46,153.71,-14.03,4.21
171,Poya,100,NC,1577993548,74,-21.35,165.16,75.33,14.29
172,Howard Springs,40,AU,1577993548,88,-12.5,131.05,82.0,2.24
173,Imeni Babushkina,100,RU,1577993548,94,59.76,43.13,34.07,8.32
174,Alyangula,40,AU,1577993548,79,-13.85,136.42,84.2,8.05
175,Norman Wells,90,CA,1577993548,76,65.28,-126.83,-4.0,13.87
176,Bethel,1,US,1577993548,75,60.79,-161.76,-13.0,8.05
177,Sao Jose da Coroa Grande,10,BR,1577993548,82,-8.9,-35.15,80.64,11.34
178,Touros,75,BR,1577993548,62,-5.2,-35.46,86.0,16.11
179,Douala,40,CM,1577993548,83,4.04,9.71,84.2,1.12
180,Nome,90,US,1577993211,94,30.04,-94.42,68.0,4.7
181,Eyl,24,SO,1577993548,79,7.98,49.82,78.3,21.52
182,Acapulco,40,MX,1577993257,58,16.86,-99.88,87.8,4.7
183,Turbat,95,PK,1577993548,63,26.0,63.05,59.74,1.48
184,Magadi,40,IN,1577993548,100,12.96,77.22,69.8,4.7
185,Hamilton,75,CA,1577993402,69,43.26,-79.87,46.99,16.11
186,Tasiilaq,20,GL,1577993548,43,65.61,-37.64,12.2,32.21
187,Makakilo City,1,US,1577993548,69,21.35,-158.09,78.01,3.36
188,Pevek,100,RU,1577993548,62,69.7,170.27,2.08,13.33
189,Itarema,2,BR,1577993548,75,-2.92,-39.92,80.13,7.34
190,Cidreira,54,BR,1577993548,76,-30.17,-50.22,73.78,23.62
191,Komsomolskiy,99,RU,1577993549,95,67.55,63.78,1.62,11.7
192,Praia da Vitoria,20,PT,1577993549,87,38.73,-27.07,55.4,6.85
193,Pangnirtung,90,CA,1577993549,77,66.15,-65.72,6.8,4.7
194,Broken Hill,0,AU,1577993549,15,-31.97,141.45,73.4,10.29
195,Luwuk,100,ID,1577993549,71,-0.95,122.79,82.09,5.59
196,Pyapon,0,MM,1577993549,70,16.29,95.68,71.42,6.62
197,Thompson,75,CA,1577993549,84,55.74,-97.86,5.0,1.66
198,Alipur Chatha,40,PK,1577993549,87,32.27,73.82,48.2,4.16
199,Shimoda,0,JP,1577993549,88,34.7,138.93,36.0,28.99
200,Vardo,1,US,1577993549,45,39.62,-77.74,52.0,5.82
201,Yulara,31,AU,1577993549,39,-25.24,130.99,82.4,5.82
202,Chimbote,47,PE,1577993549,59,-9.08,-78.59,78.04,12.24
203,Santa Maria,75,BR,1577993465,73,-16.02,-48.01,78.01,12.75
204,Capitan Bado,33,PY,1577993549,60,-23.27,-55.53,86.22,4.74
205,San Carlos de Bariloche,40,AR,1577993549,21,-41.13,-71.31,82.4,10.29
206,Khandagayty,95,MN,1577993549,93,50.73,92.07,-12.62,1.7
207,Mount Isa,100,AU,1577993549,74,-20.73,139.49,78.8,2.24
208,Victoria,75,BN,1577993354,83,5.28,115.24,80.6,3.36
209,Mumford,0,GH,1577993550,52,5.26,-0.76,75.96,2.55
210,Black River,40,JM,1577993550,74,18.03,-77.85,86.0,13.87
211,Soubre,0,CI,1577993550,31,5.79,-6.61,75.22,2.06
212,Qaanaaq,2,GL,1577993550,64,77.48,-69.36,-40.41,5.86
213,Ukiah,1,US,1577993522,62,39.15,-123.21,57.99,5.26
214,Mapastepec,9,MX,1577993550,48,15.44,-92.9,86.94,8.97
215,Ribeira Grande,20,PT,1577993550,67,38.52,-28.7,57.2,8.05
216,Rodos,75,GR,1577993550,93,36.44,28.22,54.0,3.36
217,Kempele,100,FI,1577993550,75,64.91,25.51,41.0,11.41
218,Murgab,40,TM,1577993550,86,37.5,61.97,39.2,5.46
219,Athabasca,58,CA,1577993550,80,54.72,-113.29,24.46,14.76
220,Yarmouth,75,CA,1577993550,64,43.84,-66.12,37.99,14.99
221,Guerrero Negro,0,MX,1577993550,61,27.97,-114.04,63.84,11.7
222,Aksum,77,ET,1577993550,57,14.12,38.72,66.56,3.83
223,Koumac,68,NC,1577993550,81,-20.56,164.28,70.88,4.27
224,Carauari,63,BR,1577993550,52,-4.88,-66.9,89.37,3.18
225,Tulum,75,MX,1577993550,74,20.21,-87.46,84.99,9.17
226,Senanga,100,ZM,1577993550,83,-16.1,23.3,73.08,5.23
227,Flagstaff,1,US,1577993494,37,35.2,-111.65,55.0,14.99
228,Cody,40,US,1577993551,29,44.53,-109.06,45.0,20.8
229,Kovdor,100,RU,1577993551,93,67.56,30.47,37.8,17.31
230,Port Elizabeth,1,US,1577993551,53,39.31,-74.98,54.0,10.29
231,Kumano,78,JP,1577993551,38,34.34,132.59,43.0,3.62
232,Aykhal,50,RU,1577993551,83,65.95,111.51,-11.2,4.47
233,Vestmannaeyjar,99,IS,1577993551,83,63.44,-20.27,25.88,3.53
234,Goundi,98,TD,1577993551,21,9.36,17.37,66.88,5.77
235,Dicabisagan,100,PH,1577993551,86,17.08,122.42,73.49,13.76
236,Wad Rawah,0,SD,1577993551,21,15.16,33.13,75.34,18.3
237,Rongcheng,9,CN,1577993551,75,37.16,122.42,33.82,8.23
238,Casa Grande,20,PE,1577993551,78,-7.74,-79.19,73.4,12.75
239,Guatire,75,VE,1577993551,66,10.47,-66.54,86.0,5.82
240,Keuruu,40,FI,1577993551,86,62.26,24.71,39.0,12.75
241,Houston,90,US,1577993443,100,29.76,-95.37,64.99,9.95
242,Tabuk,76,PH,1577993551,87,17.41,121.44,69.3,7.02
243,Micheweni,67,TZ,1577993551,81,-4.97,39.83,82.62,18.3
244,Bambous Virieux,75,MU,1577993551,88,-20.34,57.76,78.8,3.36
245,Mahajanga,40,MG,1577993551,94,-15.72,46.32,78.8,4.7
246,Harstad,75,NO,1577993552,81,68.8,16.53,42.8,44.96
247,Castro,40,CL,1577993552,57,-42.48,-73.76,75.2,8.05
248,Gizo,20,IL,1577993552,76,31.8,34.94,55.4,6.93
249,Chisec,69,GT,1577993552,61,15.81,-90.29,84.02,4.41
250,Jiayuguan,100,CN,1577993552,48,39.77,98.29,22.6,5.66
251,Camopi,100,GF,1577993552,71,3.17,-52.33,78.37,3.78
252,Menongue,100,AO,1577993552,95,-14.66,17.68,65.66,4.94
253,Caluire-et-Cuire,75,FR,1577993552,91,45.8,4.84,41.0,2.24
254,Bintulu,75,MY,1577993552,94,3.17,113.03,78.8,0.92
255,Mao,40,DO,1577993552,58,19.55,-71.08,88.0,14.99
256,Tokur,95,RU,1577993552,99,53.13,132.9,-28.08,1.66
257,San Patricio,67,PY,1577993552,49,-26.98,-56.83,85.98,9.42
258,Gonbad-e Qabus,21,IR,1577993552,75,37.25,55.17,42.8,3.15
259,Boden,100,SE,1577993552,80,65.83,21.69,39.2,8.05
260,Okhotsk,92,RU,1577993552,74,59.36,143.24,9.0,20.36
261,Clarksville,90,US,1577993552,100,36.53,-87.36,52.0,9.17
262,Santa Rosalia,40,IT,1577993552,76,38.07,13.27,59.0,6.93
263,Yelizovo,75,RU,1577993552,72,53.19,158.38,10.4,6.71
264,Chara,20,GR,1577993552,59,39.42,22.43,42.01,6.93
